G3 E3 C3 C3
_ _ _ _
_ _ _ _
_ _ _ _
C4 A3 E3 A2
_ _ _ _
_ C4 _ _
_ _ _ _
D4 _ G3 G2
_ _ _ _
_ B3 _ _
_ _ _ _
E4 C4 G3 C3
_ _ _ _
_ B3 _ _
_ A3 _ _
D4 B3 G3 G2
_ _ _ _
_ _ F3 _
_ _ _ _
C4 G3 E3 C2
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
r r r r
_ _ _ _
_ _ _ _
_ _ _ _
D4 B3 G3 G2
_ _ _ _
_ _ _ _
_ _ _ _
E4 C4 G3 C3
_ _ _ _
_ _ _ _
_ _ _ _
F4 C4 A3 F2
_ _ _ _
_ D4 _ _
_ _ _ _
E4 _ G3 G2
_ _ _ _
_ C4 _ _
_ _ _ _
D4 _ _ G1
_ _ _ _
_ B3 G3 _
_ _ F3 _
C4 G3 E3 C2
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
r r r r
_ _ _ _
_ _ _ _
_ _ _ _
E4 C4 G3 C2
_ _ _ _
_ _ _ _
_ _ _ _
G4 C4 G3 E2
_ _ _ _
_ _ _ _
_ _ _ _
G4 C4 E3 C2
_ _ _ _
_ _ _ _
_ _ _ _
F4 _ F3 D2
_ _ _ _
_ B3 _ _
_ _ _ _
E4 C4 G3 E2
_ _ _ _
_ _ _ F2
_ _ _ _
D4 C4 G3 G2
_ _ _ _
_ _ _ _
_ _ _ _
_ B3 _ _
_ _ _ _
_ _ _ _
_ _ _ _
r r r r
_ _ _ _
_ _ _ _
_ _ _ _
E4 B3 E3 G#2
_ _ _ _
_ _ _ _
_ _ _ _
C4 B3 E3 A2
_ _ _ _
_ A3 _ _
_ _ _ _
F4 C4 A3 _
_ _ _ _
_ D4 G3 B2
_ _ _ _
E4 _ G3 C3
_ _ _ _
_ C4 _ _
_ _ _ _
D4 _ _ G2
_ _ _ _
_ B3 G3 _
_ _ F3 _
C4 C4 E3 A2
_ _ _ _
_ _ D3 _
_ _ _ _
_ _ E3 _
_ _ _ _
_ B3 F#3 _
_ A3 _ _
D4 B3 G3 G2
_ _ _ _
_ _ _ _
_ _ _ _
D4 B3 G3 G2
_ _ _ _
_ _ _ _
_ _ _ _
E4 C4 G3 C3
_ _ _ _
_ _ _ _
_ _ _ _
F4 C4 F3 A2
_ _ _ _
_ _ A3 F2
_ _ _ _
E4 C4 G3 G2
_ _ _ _
_ _ _ _
_ _ _ _
D4 _ G3 G1
_ _ _ _
_ B3 _ _
_ _ F3 _
C4 G3 E3 C2
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
