E5 B4 G#4 E4
_ _ _ _
_ _ _ D4
_ _ _ _
E5 C5 A4 C4
_ _ _ _
_ _ _ A3
_ _ _ _
D5 A4 D4 F#3
_ _ _ _
C5 _ _ _
_ _ _ _
B4 G4 D4 G3
_ _ _ _
_ _ _ _
_ _ _ _
E5 C5 G4 E3
_ _ _ _
_ _ _ C3
_ _ _ _
D5 B4 G4 G3
_ _ _ _
C5 _ _ _
_ _ _ _
B4 B4 F4 G#3
_ _ _ _
_ _ E4 _
_ _ _ _
C5 A4 E4 A3
_ _ _ _
_ _ _ _
_ _ _ _
E5 C#5 A4 A3
_ _ _ _
_ _ _ G3
_ _ _ _
E5 A4 A4 F3
_ _ _ _
_ _ _ _
_ _ _ _
D5 _ D4 F#3
_ _ _ _
C5 _ _ _
_ _ _ _
B4 A4 D4 G3
_ _ _ _
_ G4 _ _
_ _ _ _
E5 G4 B-3 C#3
_ _ _ _
_ _ _ _
_ _ _ _
D5 F4 A3 D3
_ _ _ _
C5 _ _ _
_ _ _ _
B4 F4 B3 G#2
_ _ _ _
_ E4 _ _
_ _ _ _
C5 E4 A3 A2
_ _ _ _
_ _ _ _
_ _ _ _
E5 C5 E4 A3
_ _ _ _
_ _ _ _
_ _ _ _
F#5 C5 D4 D3
_ _ _ _
_ _ _ _
_ _ _ _
G#5 B4 E4 D4
_ _ _ _
_ _ _ _
_ _ _ _
A5 A4 E4 C#4
_ _ _ _
_ _ _ _
_ _ _ _
E5 A4 E4 C4
_ _ _ _
F#5 _ _ _
_ _ _ _
G5 B4 E4 B3
_ _ _ _
_ _ _ A3
_ _ _ _
F#5 B4 D#4 B3
_ _ _ _
_ _ A4 _
_ _ _ _
E5 B4 G4 E3
_ _ _ _
_ _ _ _
_ _ _ _
F#5 B4 F#4 D#3
_ _ _ _
_ _ _ _
_ _ _ _
G5 B4 F#4 E3
_ _ _ _
_ _ E4 _
_ _ _ _
F#5 B4 _ B3
_ _ _ _
_ _ D4 _
_ _ _ _
E5 _ E4 C4
_ _ _ _
_ G4 _ B3
_ _ _ _
E5 C5 E4 A3
_ _ _ _
_ B4 _ G3
_ _ _ _
D5 A4 F4 F3
_ _ _ _
C5 _ E4 _
_ _ _ _
B4 G4 D4 G3
_ _ _ _
_ F4 _ _
_ _ _ _
C5 E4 C4 C3
_ _ _ _
_ _ _ _
_ _ _ _
D5 A4 C4 F#3
_ _ _ _
_ _ _ _
_ _ _ _
D5 G4 B3 G3
_ _ _ _
_ _ _ _
_ _ _ _
E5 G4 C4 C3
_ _ _ _
_ _ B3 _
_ _ _ _
D5 F#4 A3 D3
_ _ _ _
C5 _ _ _
_ _ _ _
B4 G#4 E4 E3
_ _ _ _
_ _ _ _
_ _ _ _
C5 A4 E4 A2
_ _ _ _
_ _ _ B2
_ _ _ _
C5 A4 E4 C3
_ _ _ _
_ _ _ D3
_ _ _ _
B4 _ E4 E3
_ _ _ _
_ G4 _ _
_ _ _ _
F#5 B4 F#4 D#3
_ _ _ _
_ _ _ _
_ _ _ _
G5 B4 E4 E3
_ _ _ _
_ _ _ _
_ _ _ _
F#5 C5 D#4 A3
_ _ _ _
_ _ _ _
_ _ _ _
E5 B4 E4 G3
_ _ _ _
_ _ F#4 F#3
_ _ _ _
B4 B4 G4 E3
_ _ _ _
_ _ F#4 D3
_ _ _ _
E5 B4 E4 C#3
_ _ _ _
_ _ _ _
_ _ _ _
E5 A#4 F#4 F#3
_ _ _ _
_ _ _ _
_ _ _ _
D#5 B4 F#4 B2
_ _ _ _
_ _ _ _
_ _ _ _
