A4 E4 C4 A3
_ _ _ _
_ _ _ _
_ _ _ _
_ A4 _ A2
_ _ _ _
B4 G#4 D4 _
_ _ _ _
C5 A4 E4 A3
_ _ _ _
D5 B4 _ _
_ _ _ _
E5 C5 E4 A3
_ _ _ _
_ B4 _ G#3
_ _ _ _
_ C5 A4 A3
_ _ _ _
_ D5 _ B3
_ _ _ _
A5 E5 _ C4
_ _ _ _
_ _ B4 D4
_ _ _ _
A5 E5 C5 E4
_ _ _ _
_ _ _ _
_ _ _ _
B5 F5 D5 D4
_ _ _ _
_ _ _ _
_ _ _ _
G#5 E5 B4 E4
_ _ _ _
_ _ D5 _
_ _ _ _
A5 E5 D5 A3
_ _ _ _
_ _ _ _
_ _ _ _
_ _ C5 _
_ _ _ _
_ _ B4 _
_ _ _ _
A5 E5 C5 A2
_ _ _ _
_ _ _ _
_ _ _ _
C6 E5 A4 A3
_ _ _ _
_ _ _ B3
_ _ _ _
_ _ _ C4
_ _ _ _
_ _ _ D4
_ _ _ _
B5 E5 G4 E4
_ _ _ _
_ _ _ E3
_ _ _ _
A5 C5 G4 F3
_ _ _ _
_ _ _ G3
_ _ _ _
_ _ F4 A3
_ _ _ _
_ _ _ B3
_ _ _ _
G5 C5 _ C4
_ _ _ _
_ _ E4 C3
_ _ _ _
A5 C5 F4 F3
_ _ _ _
G5 _ G4 E3
_ _ _ _
F5 C5 A4 D3
_ _ _ _
_ D5 _ _
_ _ _ _
_ C5 G4 G3
_ _ _ _
_ B4 _ _
_ _ _ _
E5 C5 G4 C3
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ _
E5 C5 A4 A3
_ _ _ _
_ _ _ _
_ _ _ _
_ _ _ A4
_ _ _ _
_ _ _ _
_ _ _ _
E5 C5 A4 G4
_ _ _ _
F5 _ _ F4
_ _ _ _
G5 C5 G4 E4
_ _ _ _
_ D5 _ E3
_ _ _ _
_ C5 _ F3
_ _ _ _
_ B4 _ G3
_ _ _ _
C5 C5 E4 A3
_ _ _ _
_ _ _ G3
_ _ _ _
F5 C5 A4 A3
_ _ _ _
_ _ _ B3
_ _ _ _
_ _ G4 C4
_ _ _ _
_ _ _ D4
_ _ _ _
E5 C5 _ E4
_ _ _ _
_ _ _ F4
_ _ _ _
D5 C5 G4 G4
_ _ _ _
_ _ _ _
_ _ _ _
_ B4 _ _
_ _ _ _
_ A4 _ _
_ _ _ _
D5 B4 G4 G3
_ _ _ _
_ _ _ _
_ _ _ _
D5 B4 G4 G4
_ _ _ _
_ _ _ _
_ _ _ _
_ A4 A4 F4
_ _ _ _
_ _ _ E4
_ _ _ _
E5 A4 E4 D4
_ _ _ _
_ _ _ C#4
_ _ _ _
F5 A4 E4 D4
_ _ _ _
_ _ _ C4
_ _ _ _
_ D5 D4 B-3
_ _ _ _
_ C#5 _ A3
_ _ _ _
G5 D5 G4 B-3
_ _ _ _
_ _ A4 A3
_ _ _ _
F5 D5 B-4 G3
_ _ _ _
_ _ A4 F3
_ _ _ _
E5 D5 B4 G3
_ _ _ _
_ _ G4 _
_ _ _ _
